chunk_id,priority,category,article,title,source,src_title,page_content
민법(법률)(제20432호)(20260101)_000,4,['기타'],민법,민법,민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),민법
민법(법률)(제20432호)(20260101)_001,4,['손해배상_책임'],제390조(채무불이행과 손해배상),"채무자가 약속대로 돈을 갚지 않으면 채권자는 손해배상을 요구할 수 있지만, 채무자의 실수나 고의 없이 불가피하게 이행이 불가능한 경우에는 손해배상 청구가 불가능하다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),채무자가 채무의 내용에 좇은 이행을 하지 아니한 때에는 채권자는 손해배상을 청구할 수 있다. 그러나 채무자의 고의나 과실없이 이행할 수 없게 된 때에는 그러하지 아니하다.
민법(법률)(제20432호)(20260101)_002,4,['수선_원상회복'],제615조(차주의 원상회복의무와 철거권),"차주가 차용한 물건을 돌려주면 원래 상태로 되돌려 놓아야 하며, 부속된 물건은 함께 제거할 수 있다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),차주가 차용물을 반환하는 때에는 이를 원상에 회복하여야 한다. 이에 부속시킨 물건은 철거할 수 있다.
민법(법률)(제20432호)(20260101)_003,4,['임대료_증감'],제618조(임대차의 의의),"임대차는 한 쪽이 다른 쪽에게 물건을 사용하고 수익하게 허락하고, 그 대가로 돈을 지불하는 계약으로 효력이 발생합니다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"임대차는 당사자 일방이 상대방에게 목적물을 사용, 수익하게 할 것을 약정하고 상대방이 이에 대하여 차임을 지급할 것을 약정함으로써 그 효력이 생긴다."
민법(법률)(제20432호)(20260101)_004,4,['기타'],"제619조(처분능력, 권한없는 자의 할 수 있는 단기임대차)","토지와 건물 등의 임대차 기간은 용도에 따라 제한되며, 식목용 토지는 최대 10년, 기타 토지는 5년, 건물은 3년, 동산은 최대 6개월까지 가능하다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"처분의 능력 또는 권한없는 자가 임대차를 하는 경우에는 그 임대차는 다음 각호의 기간을 넘지 못한다.

1. 식목, 채염 또는 석조, 석회조, 연와조 및 이와 유사한 건축을 목적으로 한 토지의 임대차는 10년

2. 기타 토지의 임대차는 5년

3. 건물 기타 공작물의 임대차는 3년

4. 동산의 임대차는 6월"
민법(법률)(제20432호)(20260101)_005,4,['계약해지_명도'],제620조(단기임대차의 갱신),"단기 임대차 계약은 기간 만료 전에 토지는 1년 이내, 건물 등은 3개월 이내, 동산은 1개월 이내에 갱신해야 합니다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"전조의 기간은 갱신할 수 있다. 그러나 그 기간만료전 토지에 대하여는 1년, 건물 기타 공작물에 대하여는 3월, 동산에 대하여는 1월내에 갱신하여야 한다."
민법(법률)(제20432호)(20260101)_006,4,['기타'],제621조(임대차의 등기),임대차 계약을 체결할 때 임대인이 등기 절차에 동의하지 않으면 임차인은 등기에 협력할 권리를 청구할 수 있다. 임대차 계약이 등기되면 그 효력이 제3자에게도 미친다.,민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"①부동산임차인은 당사자간에 반대약정이 없으면 임대인에 대하여 그 임대차등기절차에 협력할 것을 청구할 수 있다.

②부동산임대차를 등기한 때에는 그때부터 제삼자에 대하여 효력이 생긴다."
민법(법률)(제20432호)(20260101)_007,4,"['보증금_대항력', '계약해지_명도']",제622조(건물등기있는 차지권의 대항력),"임대차 계약을 등기하지 않았더라도 임차인이 건물을 등기하면, 제3자에게도 임대차 권리가 인정된다. 하지만 건물이 계약 만료 전에 없어지거나 폐기되면 그 효력이 사라진다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"①건물의 소유를 목적으로 한 토지임대차는 이를 등기하지 아니한 경우에도 임차인이 그 지상건물을 등기한 때에는 제삼자에 대하여 임대차의 효력이 생긴다.

②건물이 임대차기간만료전에 멸실 또는 후폐한 때에는 전항의 효력을 잃는다."
민법(법률)(제20432호)(20260101)_008,4,['임대료_증감'],제623조(임대인의 의무),"임대인은 임차인에게 임대한 부동산을 계약 기간 동안 적절한 상태로 제공해야 합니다. 즉, 임차인이 부동산을 정상적으로 사용하고 수익을 얻을 수 있도록 유지 관리해야 합니다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"임대인은 목적물을 임차인에게 인도하고 계약존속중 그 사용, 수익에 필요한 상태를 유지하게 할 의무를 부담한다."
민법(법률)(제20432호)(20260101)_009,4,['수선_원상회복'],"제624조(임대인의 보존행위, 인용의무)","임대인이 임대물을 유지보수하는 데 필요한 행동을 취할 경우, 임차인은 이를 거부할 수 없다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),임대인이 임대물의 보존에 필요한 행위를 하는 때에는 임차인은 이를 거절하지 못한다.
민법(법률)(제20432호)(20260101)_010,4,['수선_원상회복'],제625조(임차인의 의사에 반하는 보존행위와 해지권),"임차인의 동의 없이 임대인이 임차 계약의 본래 목적을 달성하지 못하게 하는 행위를 하면, 임차인은 계약을 해지할 수 있습니다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),임대인이 임차인의 의사에 반하여 보존행위를 하는 경우에 임차인이 이로 인하여 임차의 목적을 달성할 수 없는 때에는 계약을 해지할 수 있다.
민법(법률)(제20432호)(20260101)_011,4,['수선_원상회복'],제626조(임차인의 상환청구권),"임차인이 임차물 유지에 필요한 비용을 지출하면 임대인에게 그 비용을 청구할 권리가 있고, 임차인이 유익한 비용(예: 수리비)을 지출했을 경우 임대차 종료 후 그 비용이 가치를 높였다면 임대인이 상환해야 합니다. 법원은 임대인의 상환 청구에 따라 적절한 상환 기간을 정할 수 있습니다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"①임차인이 임차물의 보존에 관한 필요비를 지출한 때에는 임대인에 대하여 그 상환을 청구할 수 있다.

②임차인이 유익비를 지출한 경우에는 임대인은 임대차종료시에 그 가액의 증가가 현존한 때에 한하여 임차인의 지출한 금액이나 그 증가액을 상환하여야 한다. 이 경우에 법원은 임대인의 청구에 의하여 상당한 상환기간을 허여할 수 있다."
민법(법률)(제20432호)(20260101)_012,4,"['임대료_증감', '손해배상_책임']","제627조(일부멸실 등과 감액청구, 해지권)","임차인이 임차물 일부가 과실 없이 없어지거나 사용 불가능해지면 해당 부분에 대한 차임을 줄일 수 있고, 만약 남은 부분으로도 목적을 달성할 수 없다면 계약을 해지할 권리가 있다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"①임차물의 일부가 임차인의 과실없이 멸실 기타 사유로 인하여 사용, 수익할 수 없는 때에는 임차인은 그 부분의 비율에 의한 차임의 감액을 청구할 수 있다.

②전항의 경우에 그 잔존부분으로 임차의 목적을 달성할 수 없는 때에는 임차인은 계약을 해지할 수 있다."
민법(법률)(제20432호)(20260101)_013,4,['임대료_증감'],제628조(차임증감청구권),"임대인과 임차인은 임대 계약 조건이 바뀌어 현재 정해진 임대료가 합리적이지 않아졌을 때, 미래의 임대료를 조정할 권리가 있습니다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),임대물에 대한 공과부담의 증감 기타 경제사정의 변동으로 인하여 약정한 차임이 상당하지 아니하게 된 때에는 당사자는 장래에 대한 차임의 증감을 청구할 수 있다.
민법(법률)(제20432호)(20260101)_014,4,['손해배상_책임'],"제629조(임차권의 양도, 전대의 제한)",임차인은 임대인의 허락 없이 임차권을 양도하거나 임차물을 다른 사람에게 빌려줄 수 없다. 만약 위반 시 임대인은 계약을 해지할 수 있다.,민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"①임차인은 임대인의 동의없이 그 권리를 양도하거나 임차물을 전대하지 못한다.

②임차인이 전항의 규정에 위반한 때에는 임대인은 계약을 해지할 수 있다."
민법(법률)(제20432호)(20260101)_015,4,['임대료_증감'],제630조(전대의 효과),"임차인이 임대인의 허락으로 물건을 다른 사람에게 빌려줄 경우, 그 임차인은 직접 임대인에게도 그 물건에 대한 의무를 지게 되지만, 전대차료는 임대인에게 직접 지급해야 하므로 임대인에게 대항할 수 없습니다. 이 규정은 임대인이 임차인을 통해 권리를 행사하는 방식에 영향을 주지 않습니다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"①임차인이 임대인의 동의를 얻어 임차물을 전대한 때에는 전차인은 직접 임대인에 대하여 의무를 부담한다. 이 경우에 전차인은 전대인에 대한 차임의 지급으로써 임대인에게 대항하지 못한다.

②전항의 규정은 임대인의 임차인에 대한 권리행사에 영향을 미치지 아니한다."
민법(법률)(제20432호)(20260101)_016,4,['기타'],제631조(전차인의 권리의 확정),"임차인이 임대인의 허락을 받아 전차한 경우, 합의로 계약을 종료하더라도 전차인의 권리는 그대로 유지됩니다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),임차인이 임대인의 동의를 얻어 임차물을 전대한 경우에는 임대인과 임차인의 합의로 계약을 종료한 때에도 전차인의 권리는 소멸하지 아니한다.
민법(법률)(제20432호)(20260101)_017,4,['기타'],제632조(임차건물의 소부분을 타인에게 사용케 하는 경우),임차인이 건물 일부를 다른 사람에게 빌려주더라도 기존 임대차 계약의 기본 규정은 적용되지 않습니다.,민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),전3조의 규정은 건물의 임차인이 그 건물의 소부분을 타인에게 사용하게 하는 경우에 적용하지 아니한다.
민법(법률)(제20432호)(20260101)_018,4,['임대료_증감'],제633조(차임지급의 시기),"동산이나 건물 등은 매월 말에, 토지 중 수확 가능한 것은 수확 후 지체 없이 차임을 지불해야 합니다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"차임은 동산, 건물이나 대지에 대하여는 매월말에, 기타 토지에 대하여는 매년말에 지급하여야 한다. 그러나 수확기있는 것에 대하여는 그 수확후 지체없이 지급하여야 한다."
민법(법률)(제20432호)(20260101)_019,4,"['수선_원상회복', '계약해지_명도']",제634조(임차인의 통지의무),임차인은 임차한 물건에 수리가 필요하거나 다른 권리 주장이 있을 경우 임대인에게 즉시 알려야 합니다. 하지만 이미 임대인이 이를 알고 있다면 별도의 통지 의무는 없습니다.,민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),임차물의 수리를 요하거나 임차물에 대하여 권리를 주장하는 자가 있는 때에는 임차인은 지체없이 임대인에게 이를 통지하여야 한다. 그러나 임대인이 이미 이를 안 때에는 그러하지 아니하다.
민법(법률)(제20432호)(20260101)_020,4,['계약해지_명도'],제635조(기간의 약정없는 임대차의 해지통고),"임대차 계약 기간이 명시되지 않은 경우, 임대인이나 임차인은 언제든지 계약 해지를 통보할 수 있다. 통보 후 토지나 건물은 6개월, 동산은 5개월이 지나면 해지 효력이 발생한다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),"①임대차기간의 약정이 없는 때에는 당사자는 언제든지 계약해지의 통고를 할 수 있다.

②상대방이 전항의 통고를 받은 날로부터 다음 각호의 기간이 경과하면 해지의 효력이 생긴다.

1. 토지, 건물 기타 공작물에 대하여는 임대인이 해지를 통고한 경우에는 6월, 임차인이 해지를 통고한 경우에는 1월

2. 동산에 대하여는 5일"
민법(법률)(제20432호)(20260101)_021,4,['계약해지_명도'],제636조(기간의 약정있는 임대차의 해지통고),"임대차 계약 기간이 정해져 있어도 한쪽이 계약 해지를 미리 신청할 수 있는 권리를 가지고 있으며, 이런 경우에도 일반 해지 규정이 적용됩니다.",민법(법률)(제20432호)(20260101).docx,민법(법률)(제20432호)(20260101),임대차기간의 약정이 있는 경우에도 당사자일방 또는 쌍방이 그 기간내에 해지할 권리를 보류한 때에는 전조의 규정을 준용한다.
